doc_idx,filename,rule_label,prompt_id,gemini_label,gemini_reason
13,2020-慈溪市人民政府办公室关于印发慈溪市“千吨万人”以上饮用水水源保护区整治工作实施方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
13,2020-慈溪市人民政府办公室关于印发慈溪市“千吨万人”以上饮用水水源保护区整治工作实施方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
13,2020-慈溪市人民政府办公室关于印发慈溪市“千吨万人”以上饮用水水源保护区整治工作实施方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
13,2020-慈溪市人民政府办公室关于印发慈溪市“千吨万人”以上饮用水水源保护区整治工作实施方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
14,2012-关于印发慈溪市“十二五”主要污染物总量减排实施方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
14,2012-关于印发慈溪市“十二五”主要污染物总量减排实施方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
14,2012-关于印发慈溪市“十二五”主要污染物总量减排实施方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
14,2012-关于印发慈溪市“十二五”主要污染物总量减排实施方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
15,2013-慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
15,2013-慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
15,2013-慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
15,2013-慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知.docx,regulatory,P8_label_only,regulatory,(single word)
16,2016-慈溪市人民政府办公室关于印发慈溪市饮用水水源保护管理办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
16,2016-慈溪市人民政府办公室关于印发慈溪市饮用水水源保护管理办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
16,2016-慈溪市人民政府办公室关于印发慈溪市饮用水水源保护管理办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
16,2016-慈溪市人民政府办公室关于印发慈溪市饮用水水源保护管理办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
17,2018-象山县人民政府办公室关于印发象山县农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
17,2018-象山县人民政府办公室关于印发象山县农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
17,2018-象山县人民政府办公室关于印发象山县农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
17,2018-象山县人民政府办公室关于印发象山县农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
18,2012-关于印发象山县城区排水许可实施办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
18,2012-关于印发象山县城区排水许可实施办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
18,2012-关于印发象山县城区排水许可实施办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
18,2012-关于印发象山县城区排水许可实施办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
19,2024-象山县水利局 宁波市生态环境局象山分局关于印发《象山县中型水库生态流量核定与保障实施方案》的通知.docx,informational,P1_baseline_zh,regulatory,(keyword fallback)
19,2024-象山县水利局 宁波市生态环境局象山分局关于印发《象山县中型水库生态流量核定与保障实施方案》的通知.docx,informational,P2_english,regulatory,(keyword fallback)
19,2024-象山县水利局 宁波市生态环境局象山分局关于印发《象山县中型水库生态流量核定与保障实施方案》的通知.docx,informational,P3_no_definition,regulatory,(keyword fallback)
19,2024-象山县水利局 宁波市生态环境局象山分局关于印发《象山县中型水库生态流量核定与保障实施方案》的通知.docx,informational,P8_label_only,regulatory,(single word)
20,2018-象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知.docx,regulatory,P1_baseline_zh,informational,(keyword fallback)
20,2018-象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
20,2018-象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知.docx,regulatory,P3_no_definition,informational,(keyword fallback)
20,2018-象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知.docx,regulatory,P8_label_only,informational,(single word)
21,2023-象山县水利局 象山县公安局象山县综合行政执法局 象山县渔业局 宁波市生态环境局象山分局 象山县农业农村局关于公布大塘港及支流水域保护“禁十条”的通告.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
21,2023-象山县水利局 象山县公安局象山县综合行政执法局 象山县渔业局 宁波市生态环境局象山分局 象山县农业农村局关于公布大塘港及支流水域保护“禁十条”的通告.docx,regulatory,P2_english,regulatory,(keyword fallback)
21,2023-象山县水利局 象山县公安局象山县综合行政执法局 象山县渔业局 宁波市生态环境局象山分局 象山县农业农村局关于公布大塘港及支流水域保护“禁十条”的通告.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
21,2023-象山县水利局 象山县公安局象山县综合行政执法局 象山县渔业局 宁波市生态环境局象山分局 象山县农业农村局关于公布大塘港及支流水域保护“禁十条”的通告.docx,regulatory,P8_label_only,regulatory,(single word)
22,2021-象山县人民政府办公室关于印发象山县近岸海域水污染防治攻坚战实施方案（2021—2022年）的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
22,2021-象山县人民政府办公室关于印发象山县近岸海域水污染防治攻坚战实施方案（2021—2022年）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
22,2021-象山县人民政府办公室关于印发象山县近岸海域水污染防治攻坚战实施方案（2021—2022年）的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
22,2021-象山县人民政府办公室关于印发象山县近岸海域水污染防治攻坚战实施方案（2021—2022年）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
23,2024-象山县人民政府办公室关于印发象山县水产养殖尾水处理设施运行维护管理办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
23,2024-象山县人民政府办公室关于印发象山县水产养殖尾水处理设施运行维护管理办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
23,2024-象山县人民政府办公室关于印发象山县水产养殖尾水处理设施运行维护管理办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
23,2024-象山县人民政府办公室关于印发象山县水产养殖尾水处理设施运行维护管理办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
24,2015-余姚市人民政府办公室关于明确2015年度农村生活污水治理工作目标任务的通知.docx,informational,P1_baseline_zh,regulatory,(keyword fallback)
24,2015-余姚市人民政府办公室关于明确2015年度农村生活污水治理工作目标任务的通知.docx,informational,P2_english,regulatory,(keyword fallback)
24,2015-余姚市人民政府办公室关于明确2015年度农村生活污水治理工作目标任务的通知.docx,informational,P3_no_definition,regulatory,(keyword fallback)
24,2015-余姚市人民政府办公室关于明确2015年度农村生活污水治理工作目标任务的通知.docx,informational,P8_label_only,regulatory,(single word)
25,2018-余姚市人民政府办公室关于印发余姚市城区“六小”行业水污染专项整治方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
25,2018-余姚市人民政府办公室关于印发余姚市城区“六小”行业水污染专项整治方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
25,2018-余姚市人民政府办公室关于印发余姚市城区“六小”行业水污染专项整治方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
25,2018-余姚市人民政府办公室关于印发余姚市城区“六小”行业水污染专项整治方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
26,2018-余姚市人民政府办公室关于印发2018年余姚市创建“污水零直排区”工作方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
26,2018-余姚市人民政府办公室关于印发2018年余姚市创建“污水零直排区”工作方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
26,2018-余姚市人民政府办公室关于印发2018年余姚市创建“污水零直排区”工作方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
26,2018-余姚市人民政府办公室关于印发2018年余姚市创建“污水零直排区”工作方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
27,2018-余姚市人民政府办公室关于印发余姚市全面推进截污纳管工作加快实现“污水全纳管、排水全许可”攻坚方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
27,2018-余姚市人民政府办公室关于印发余姚市全面推进截污纳管工作加快实现“污水全纳管、排水全许可”攻坚方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
27,2018-余姚市人民政府办公室关于印发余姚市全面推进截污纳管工作加快实现“污水全纳管、排水全许可”攻坚方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
27,2018-余姚市人民政府办公室关于印发余姚市全面推进截污纳管工作加快实现“污水全纳管、排水全许可”攻坚方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
28,2015-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
28,2015-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
28,2015-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
28,2015-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运行维护管理办法的通知.docx,regulatory,P8_label_only,regulatory,(single word)
29,2016-余姚市人民政府办公室关于印发余姚市污水零直排区建设工作实施意见的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
29,2016-余姚市人民政府办公室关于印发余姚市污水零直排区建设工作实施意见的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
29,2016-余姚市人民政府办公室关于印发余姚市污水零直排区建设工作实施意见的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
29,2016-余姚市人民政府办公室关于印发余姚市污水零直排区建设工作实施意见的通知.docx,regulatory,P8_label_only,regulatory,(single word)
30,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本11.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
30,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本11.docx,regulatory,P2_english,regulatory,(keyword fallback)
30,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本11.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
30,2016-关于下达海盐县查找补齐“清三河”短板清淤河道计划的通知_副本11.docx,regulatory,P8_label_only,regulatory,(single word)
31,2019-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
31,2019-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
31,2019-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
31,2019-余姚市人民政府办公室关于印发余姚市农村生活污水治理设施运维管理办法（试行）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
32,2016-余姚市人民政府办公室关于做好2016年度农村生活污水治理工作的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
32,2016-余姚市人民政府办公室关于做好2016年度农村生活污水治理工作的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
32,2016-余姚市人民政府办公室关于做好2016年度农村生活污水治理工作的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
32,2016-余姚市人民政府办公室关于做好2016年度农村生活污水治理工作的通知.docx,regulatory,P8_label_only,regulatory,(single word)
33,2017-余姚市人民政府办公室关于印发余姚市水污染防治行动计划的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
33,2017-余姚市人民政府办公室关于印发余姚市水污染防治行动计划的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
33,2017-余姚市人民政府办公室关于印发余姚市水污染防治行动计划的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
33,2017-余姚市人民政府办公室关于印发余姚市水污染防治行动计划的通知.docx,regulatory,P8_label_only,regulatory,(single word)
34,2018-余姚市人民政府办公室关于印发余姚市农村生活污水单体式治理实施办法的通知.docx,incentive,P1_baseline_zh,incentive,(keyword fallback)
34,2018-余姚市人民政府办公室关于印发余姚市农村生活污水单体式治理实施办法的通知.docx,incentive,P2_english,incentive,(keyword fallback)
34,2018-余姚市人民政府办公室关于印发余姚市农村生活污水单体式治理实施办法的通知.docx,incentive,P3_no_definition,incentive,(keyword fallback)
34,2018-余姚市人民政府办公室关于印发余姚市农村生活污水单体式治理实施办法的通知.docx,incentive,P8_label_only,regulatory,(single word)
35,2021-宁波市江北区人民政府办公室关于印发《宁波市江北区生态环境保护“十四五”规划》的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
35,2021-宁波市江北区人民政府办公室关于印发《宁波市江北区生态环境保护“十四五”规划》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
35,2021-宁波市江北区人民政府办公室关于印发《宁波市江北区生态环境保护“十四五”规划》的通知.docx,regulatory,P3_no_definition,informational,(keyword fallback)
35,2021-宁波市江北区人民政府办公室关于印发《宁波市江北区生态环境保护“十四五”规划》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
36,2020-宁波市江北区人民政府办公室关于印发《江北区节水行动实施方案》的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
36,2020-宁波市江北区人民政府办公室关于印发《江北区节水行动实施方案》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
36,2020-宁波市江北区人民政府办公室关于印发《江北区节水行动实施方案》的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
36,2020-宁波市江北区人民政府办公室关于印发《江北区节水行动实施方案》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
37,2019-宁波市生态环境局江北分局关于印发《宁波市江北区国控（省控）考核断面水质治理专项资金使用管理办法》的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
37,2019-宁波市生态环境局江北分局关于印发《宁波市江北区国控（省控）考核断面水质治理专项资金使用管理办法》的通知.docx,regulatory,P2_english,incentive,(keyword fallback)
37,2019-宁波市生态环境局江北分局关于印发《宁波市江北区国控（省控）考核断面水质治理专项资金使用管理办法》的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
37,2019-宁波市生态环境局江北分局关于印发《宁波市江北区国控（省控）考核断面水质治理专项资金使用管理办法》的通知.docx,regulatory,P8_label_only,incentive,(single word)
38,2018-宁波市江北区人民政府办公室关于印发《江北区城镇排水许可管理办法》的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
38,2018-宁波市江北区人民政府办公室关于印发《江北区城镇排水许可管理办法》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
38,2018-宁波市江北区人民政府办公室关于印发《江北区城镇排水许可管理办法》的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
38,2018-宁波市江北区人民政府办公室关于印发《江北区城镇排水许可管理办法》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
39,2023-宁波市江北区人民政府办公室关于印发《江北区农村生活污水治理工作考核办法（试行）》的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
39,2023-宁波市江北区人民政府办公室关于印发《江北区农村生活污水治理工作考核办法（试行）》的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
39,2023-宁波市江北区人民政府办公室关于印发《江北区农村生活污水治理工作考核办法（试行）》的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
39,2023-宁波市江北区人民政府办公室关于印发《江北区农村生活污水治理工作考核办法（试行）》的通知.docx,regulatory,P8_label_only,regulatory,(single word)
40,2020-2020年镇海区五水共治（治水提升）工作总结.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
40,2020-2020年镇海区五水共治（治水提升）工作总结.docx,regulatory,P2_english,regulatory,(keyword fallback)
40,2020-2020年镇海区五水共治（治水提升）工作总结.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
40,2020-2020年镇海区五水共治（治水提升）工作总结.docx,regulatory,P8_label_only,regulatory,(single word)
41,2021-2021年镇海区五水共治（河长制）工作总结.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
41,2021-2021年镇海区五水共治（河长制）工作总结.docx,regulatory,P2_english,regulatory,(keyword fallback)
41,2021-2021年镇海区五水共治（河长制）工作总结.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
41,2021-2021年镇海区五水共治（河长制）工作总结.docx,regulatory,P8_label_only,regulatory,(single word)
42,2022-2022年镇海区“五水共治”（河长制）工作要点.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
42,2022-2022年镇海区“五水共治”（河长制）工作要点.docx,regulatory,P2_english,regulatory,(keyword fallback)
42,2022-2022年镇海区“五水共治”（河长制）工作要点.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
42,2022-2022年镇海区“五水共治”（河长制）工作要点.docx,regulatory,P8_label_only,regulatory,(single word)
43,2016-镇海区农村生活污水治理工作两年（2017-2018年）行动计划.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
43,2016-镇海区农村生活污水治理工作两年（2017-2018年）行动计划.docx,regulatory,P2_english,regulatory,(keyword fallback)
43,2016-镇海区农村生活污水治理工作两年（2017-2018年）行动计划.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
43,2016-镇海区农村生活污水治理工作两年（2017-2018年）行动计划.docx,regulatory,P8_label_only,regulatory,(single word)
44,2019-2019年镇海区五水共治工作总结.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
44,2019-2019年镇海区五水共治工作总结.docx,regulatory,P2_english,regulatory,(keyword fallback)
44,2019-2019年镇海区五水共治工作总结.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
44,2019-2019年镇海区五水共治工作总结.docx,regulatory,P8_label_only,regulatory,(single word)
45,2021-2021年镇海区五水共治（河长制、治水提升）工作要点.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
45,2021-2021年镇海区五水共治（河长制、治水提升）工作要点.docx,regulatory,P2_english,regulatory,(keyword fallback)
45,2021-2021年镇海区五水共治（河长制、治水提升）工作要点.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
45,2021-2021年镇海区五水共治（河长制、治水提升）工作要点.docx,regulatory,P8_label_only,regulatory,(single word)
46,2014-宁波市鄞州区人民政府办公室关于鄞州区河道水域渔业生产规范化整治的指导意见.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
46,2014-宁波市鄞州区人民政府办公室关于鄞州区河道水域渔业生产规范化整治的指导意见.docx,regulatory,P2_english,regulatory,(keyword fallback)
46,2014-宁波市鄞州区人民政府办公室关于鄞州区河道水域渔业生产规范化整治的指导意见.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
46,2014-宁波市鄞州区人民政府办公室关于鄞州区河道水域渔业生产规范化整治的指导意见.docx,regulatory,P8_label_only,regulatory,(single word)
47,2023-宁波市鄞州区政府办公室关于印发2023年鄞州区水环境治理提升攻坚专项行动方案的通知.docx,regulatory,P1_baseline_zh,regulatory,(keyword fallback)
47,2023-宁波市鄞州区政府办公室关于印发2023年鄞州区水环境治理提升攻坚专项行动方案的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
47,2023-宁波市鄞州区政府办公室关于印发2023年鄞州区水环境治理提升攻坚专项行动方案的通知.docx,regulatory,P3_no_definition,regulatory,(keyword fallback)
47,2023-宁波市鄞州区政府办公室关于印发2023年鄞州区水环境治理提升攻坚专项行动方案的通知.docx,regulatory,P8_label_only,regulatory,(single word)
48,2022-宁波市鄞州区人民政府办公室关于印发鄞州区“五水共治”募捐资金使用管理办法（修订）的通知.docx,regulatory,P1_baseline_zh,incentive,(keyword fallback)
48,2022-宁波市鄞州区人民政府办公室关于印发鄞州区“五水共治”募捐资金使用管理办法（修订）的通知.docx,regulatory,P2_english,regulatory,(keyword fallback)
48,2022-宁波市鄞州区人民政府办公室关于印发鄞州区“五水共治”募捐资金使用管理办法（修订）的通知.docx,regulatory,P3_no_definition,incentive,(keyword fallback)
48,2022-宁波市鄞州区人民政府办公室关于印发鄞州区“五水共治”募捐资金使用管理办法（修订）的通知.docx,regulatory,P8_label_only,regulatory,(single word)
