doc_idx,filename,rule_label,llm_majority_label,text_first_500,human_label,human_notes
267,2015-关于印发西湖区2015年度农村生活污水治理工作补充意见的通知.docx,regulatory,regulatory,关于印发西湖区年度农村生活污水治理工作补充意见的通知各镇人民政府街道办事处区政府各部门各直属单位之江度假区管委会各单位西湖区年度农村生活污水治理工作补充意见已经区政府研究同意现印发给你们请认真组织实施杭州市西湖区人民政府办公室年月日西湖区年度农村生活污水治理工作补充意见为规范我区农村生活污水治理项目管理充分发挥镇街和村社两级的积极性特制定本补充意见一治理要求农户受益率达到二治理内容因地制宜因村制宜因户制宜确定治理模式和处理工艺开展化粪池改造污水管网农户接管终端设备开挖路面修复等工程三完成时间年度省市区下达的计划项目要力争在月底全面动工月底全面完工确保月底完工四实施主体和方式实施主体村社为项目施工的实施主体镇街为牵头组织和监管主体主材采购成品化粪池管材窨井盖终端设施等主要材料设备由区农办会同区治水办区审管办通过公开信息招标方式建立名录库由镇街和村社在区名录库中采购确定区农办和审管办督促供应商统一配送招标方式勘测设计施工和监理由区农办会同区治水办区审管办通过公开信息招标方式建立名录库由镇街牵头组织村社在名录库中派位摇号产生招标代理由镇街牵头组织村社按现有规定统一发包施工环节也可根据实际按照,,
470,2014-嵊泗县农林水利围垦局关于印发《全力推进农业水环境治理加强农业面源污染防治的实施方案》的通知.docx,regulatory,regulatory,嵊泗县农林水利围垦局关于印发全力推进农业水环境治理加强农业面源污染防治的实施方案的通知各乡镇人民政府局各科室及下属单位为全力推进农业水环境治理加快农业转型升级现将关于全力推进农业水环境治理全面加强农业面源污染防治的实施意见印发给你们请认真组织实施嵊泗县农林水利围垦局关于全力推进农业水环境治理加强农业面源污染防治的实施方案为切实贯彻落实省委省政府五水共治决策部署深入推进我县农业水环境综合治理全面加强农业面源污染治理加快推进我县美丽海岛建设和农业升级转型根据省农业厅关于全力推进农业水环境治理全面加强农业面源污染防治的实施意见浙农科发号文件精神结合我县实际特制订本实施方案一总体思路以生态优先建设美丽海岛为目标坚持政府主导强化主体责任加大力度治理畜禽养殖污染科学合理使用农药实现污物无害化养殖生态化农药减量化通过治水倒逼促进我县农业转型升级着力形成我县产业布局生态资源利用高效生产过程清洁环境持续优化的小而精现代农业新格局二主要目标一到年完成年出栏头畜禽养殖规模场设施修复改造个年出栏头以上畜禽养殖规模场标准化提升个到年完成新增沼液利用万吨全县基本实现畜禽养殖排泄物生态消纳或达标排放二努力减少农药使,,
527,2015-云和县人民政府办公室关于印发云和县农村生活污水治理验收办法的通知.docx,regulatory,regulatory,云和县人民政府办公室关于印发云和县农村生活污水治理验收办法的通知各乡镇人民政府街道办事处县政府直属各单位云和县农村生活污水治理验收办法已经县政府研究同意现印发给你们请认真贯彻执行云和县人民政府办公室年月日此件公开发布云和县农村生活污水治理验收办法为扎实做好农村生活污水治理年度验收工作保质保量完成全省农村生活污水治理目标任务根据中共浙江省委办公厅浙江省人民政府办公厅关于深化千村示范万村整治工程扎实推进农村生活污水治理的意见浙委办发号和浙江省财政厅浙江省千村示范万村整治工作协调小组办公室关于印发浙江省千村示范万村整治工程资金与项目管理办法的通知浙财农号等有关规定结合我县实际制定本办法一验收的对象年至年实施的农村生活污水治理和改造提升项目二验收需提交的相关资料乡镇街道业主单位如实填写报验项目真实有效数据并按以下材料清单装订成册与验收申请报告一起报送至县农村生活污水治理项目工程竣工验收领导小组办公室施工单位自查自纠整改情况县发改局批准的设计文件项目竣工图纸电子图和纸质各一份施工纪录监理单位需提供一份项目文件清单含项目变更会议纪要和其他相关项目文件的复印件隐蔽工程验收记录污水管网闭水试验记录业主,,
499,2014-松阳县卫生局关于报送《全面落实“河长制”十三都源河道水环境综合治理实施方案》的函.docx,regulatory,regulatory,松阳县卫生局关于报送全面落实河长制十三都源河道水环境综合治理实施方案的函松阳县卫生局关于报送全面落实河长制十三都源河道水环境综合治理实施方案的函县五水共治领导小组办公室根据你办要求我局牵头组织制定了全面落实河长制十三都源河道水环境综合治理实施方案现报送给你们松阳县卫生局年月日全面落实河长制十三都源河道水环境综合治理实施方案加强水环境保护和治理是推进绿色崛起科学跨越的重要举措是保障和改善民生的重要内容是全面落实田园松阳建设的实际行动根据中共松阳县委办公室县政府办公室关于印发松阳县河长制实施方案的通知松委办号精神为促进河道水环境质量进一步提升全面落实河长制做好河道综合保洁工作切实改善十三都源河道生态环境质量结合当地实际制定以下实施方案一总体要求及工作目标按照建立管理机构明确工作目标落实管理责任严格管理考核的要求在十三都源河道流经及支流涉及乡镇村全面推行河长制至年月底该流域全面实现河长制管理至年全面完成清洁水源行动和流域水污染防治规划任务整条河道主要水污染物排放总量明显下降地表水环境质量持续改善饮用水源水质稳定达标全面消除垃圾河黑臭河人民群众满意度进一步提高河道环境面貌显著改观打造水清流畅岸,,
290,2022-淳安县人民政府办公室关于加强淳安县农村生活污水处理设施运行维护管理的实施意见.docx,regulatory,regulatory,淳安县人民政府办公室关于加强淳安县农村生活污水处理设施运行维护管理的实施意见各乡镇人民政府县政府直属各单位为进一步规范全县农村生活污水处理设施运维管理保障处理设施正常运行根据浙江省农村生活污水处理设施管理条例和农村生活污水处理设施水污染物排放标准等文件精神经县政府同意现就加强我县农村生活污水处理设施运行维护管理工作提出如下实施意见一总体要求淳安县农村生活污水处理设施运维管理坚持政府主导全民参与统筹规划源头治理注重实效原则通过建机制抓队伍重考核强巡查严规范等手段实现建设规范设施完好运行稳定水质达标效益持续总体目标二主要内容一适用范围本实施意见适用于农村除千岛湖镇建成区日常生活中产生的污水以及从事农村公益事业公共服务和民宿农家乐等经营活动产生的污水农村生活污水处理设施以下简称污水处理设施包括对农村生活污水进行集中处理的设施和户用处理设备就地处置生活污水的家庭简易处理设施除外集中处理设施户用处理设备由户内处理设施和公共处理设施组成户内使用的处理设施包括户内化粪池隔油池污水管道等公共处理设施包括户外接户井污水管道检查井处理终端中心镇污水处理厂厂区范围除外等乡镇政府所在地的污水处理站适用本实施意,,
89,2020-关于印发《宁波杭州湾新区制造业“两小”企业综合治理提升三年行动计划（2020-2022年）》的通知.docx,regulatory,regulatory,关于印发宁波杭州湾新区制造业两小企业综合治理提升三年行动计划年的通知各局办委庵东镇人民政府各有关单位经管委会研究同意现将宁波杭州湾新区制造业两小企业综合治理提升三年行动计划年印发给你们请结合各自工作实际认真贯彻执行宁波杭州湾新区开发建设管理委员会办公室年月日宁波杭州湾新区制造业两小企业综合治理提升三年行动计划年为贯彻十九届四中全会关于推进国家治理体系和治理能力现代化的精神落实国家工信部等十六部委关于利用综合标准依法依规推动落后产能退出的指导意见宁波市制造业两小企业综合治理提升三年行动计划年等文件要求结合杭州湾新区实际进一步加大产业综合治理加快推进制造业的高质量发展决定在全区开展制造业小企业小加工作坊以下简称两小企业综合治理提升工作特制定方案如下一总体要求一总体思路深入贯彻落实习近平总书记在浙江宁波考察时的重要讲话精神以新发展理念为引领以制造业高质量发展为目标以污染防治和安全生产等专项整治为重要抓手围绕低散乱污问题突出的制造业两小企业和工业区块行业坚持问题导向和目标导向分类推进和精准施策培育发展和整治提升相结合强化监督管理对象全覆盖和排摸整治提升工作全链条的要求着力深化源头治理综合治理和,,
540,2020-青田县人民政府关于印发《青田县“三线一单”生态环境分区管控方案》的通知.docx,regulatory,regulatory,青田县人民政府关于印发青田县三线一单生态环境分区管控方案的通知各乡镇人民政府各街道办事处县政府直属各单位青田县三线一单生态环境分区管控方案已经县委县政府研究同意现印发给你们请认真贯彻执行本方案自年月日起施行方案实施后青田县环境功能区划不再执行青田县人民政府年月日此件公开发布青田县三线一单生态环境分区管控方案按照优先保护重点管控一般管控的优先顺序结合青田县城镇开发边界和环境功能区划成果以生态大气水等环境要素边界为主衔接乡镇行政边界环境功能区划分区边界建立功能明确边界清晰的环境管控单元统一环境管控单元编码实施分类管理一环境管控单元划定青田县共划定环境管控单元个其中优先保护单元个面积为平方千米占全县国土面积的主要为自然保护区风景名胜区国家级森林公园饮用水源保护区国家级生态公益林等重要保护地以及生态功能较重要的地区重点管控单元个面积为平方千米占全县国土面积的主要为工业发展集中区域和城镇建设集中区域其中产业集聚重点管控单元个城镇生活重点管控单元个一般管控单元个面积为平方千米占全县国土面积的表青田县综合管控单元情况二生态环境准入清单一总体准入清单环境质量不达标区域和流域新建项目需符合环境质量改善要,,
153,2015-关于禁止在饮用水水源保护区垂钓、游泳等活动的通告.docx,regulatory,regulatory,关于禁止在饮用水水源保护区垂钓游泳等活动的通告三门县佃石罗岙施家岙石门等水库是我县城乡近万人民饮用水的水源为加强饮用水源保护防止水体污染确保全县人民的饮用水安全和人身财产安全特通告如下一根据中华人民共和国水污染防治法浙江省饮用水水源保护条例的有关规定自通告发布之日起禁止任何单位和个人在佃石水库罗岙水库施家岙水库石门水库等饮用水水源保护区内进行垂钓游泳等影响水源水质的活动二对违反规定不服从管理不听劝阻的将根据中华人民共和国水污染防治法第八十一条规定依法对组织垂钓游泳等可能污染饮用水水体的活动的单位处万元以上万元以下罚款对从事垂钓游泳等可能污染饮用水水体的活动的个人处元以下罚款三阻碍执法人员依法执行公务的由公安机关依照中华人民共和国治安管理处罚法有关规定进行处罚构成犯罪的依法追究刑事责任四任何单位和个人均有保护饮用水水源地的义务并有权对污染和破坏饮用水水源地的行为进行监督和举报监督举报电话五本通告自发布之日起实施特此通告三门县人民政府年月日,,
300,2023-关于印发《良渚沿山港2023年水环境治理计划》的通知.docx,regulatory,regulatory,关于印发良渚沿山港年水环境治理计划的通知良渚街道仓前街道为切实做好年良渚沿山港水环境治理工作进一步提升良渚沿山港水环境质量结合实际特制定良渚沿山港年水环境治理计划现予印发杭州市余杭区数据资源管理局年月日良渚沿山港年水环境治理计划为深入贯彻落实中央关于全面推行河长制文件精神按照省市五水共治重大决策部署结合良渚沿山港一河湖一策实施方案年要求进一步完善良渚沿山港河长制明确治理目标完善治理方案落实治理项目强化监督考核切实做好年良渚沿山港水环境治理计划特制定如下工作计划一现状调查一河道现状调查良渚沿山港为区级河道属运河水系沿山港河道位于浙江省杭州市流经杭州市余杭区良渚仓前乡镇起止点为连具塘港至七贤桥港河道全长良渚段河道的主要支流为白塔桥港和四郎桥港分别长其中仓前段位于仓前街道连具塘村呈东西走向西起连具塘港向东米河道平均宽米二河长及河长单位情况该河道区级河长为区政协副主席黄德伟同志第一河长单位和第二河长单位分别为区数管局区科协良渚段镇街河长为良渚街道党工委副书记应如萍同志村级河长为七贤桥村党委书记黄振兴东莲村党委书记徐志泉仓前段分段河长为仓前街道党工委委员章敏同志村级河长为连具塘村党委委员李荣聪同,,
0,2014-关于印发慈溪市农村污水治理三年行动计划（2014—2016）的通知.docx,regulatory,regulatory,关于印发慈溪市农村污水治理三年行动计划的通知各镇人民政府各街道办事处市政府各部门各直属单位慈溪市农村污水治理三年行动计划已经市政府同意现印发给你们请认真贯彻执行慈溪市人民政府办公室年月日慈溪市农村生活污水治理三年行动计划为全面贯彻落实省宁波市关于实施农村生活污水治理工作的计划部署进一步推进我市农村生活污水治理工作根据宁波市农村生活污水治理三年行动计划工作要求特制定本行动计划一指导思想和目标一指导思想根据党的十八大和省委十三届四次全会精神按照五水共治治污先行的总体部署围绕村点覆盖全面群众受益广泛设施运行常态治污效果良好的基本要求坚持全面治理和扩面改造并重深入开展农村生活污水治理工作努力使广大农村水变清净塘归清澈整体提升农村水环境质量为建设品质之城幸福家园提供坚强有力的环境保障二目标任务通过实施三年行动计划到年底全市行政村社区生活污水治理覆盖率达到住户受益率达到以上二基本原则一政府主导社会参与原则充分发挥政府主导作用加强镇街道及部门资源和力量整合调动各方积极性形成联动协作合力推进的工作机制大力开展宣传教育提高社会各界村级社区组织村民居民对农村生活污水治理重要性和紧迫性的认识努力形成人人关心,,
82,2020-关于开展宁海县工业企业内部雨污分流、初期雨水收集处理改造工作的通知.docx,regulatory,regulatory,关于开展宁海县工业企业内部雨污分流初期雨水收集处理改造工作的通知各有关企业为全面推进我县污水零直排区创建工作有效改善水环境质量实现我县工业企业污水全面达标排放以高标准设计高质量建设高水平管理为要求参照宁海县工业企业内部雨污分流初期雨水收集处理改造技术规范试行分批次推进我县工业企业内部雨污分流初期雨水收集处理改造工作现将有关事项通知如下一改造目标通过对我县工业企业系统化雨污分流初期雨水收集提升改造全面实现工业企业污水达标排放有效推进我县污水零直排区创建工作至年月底前完成第二批工业企业内部雨污分流初期雨水收集处理改造企业名单见附件二企业自行设计改造方案有关企业应参考宁海县工业企业内部雨污分流初期雨水收集处理改造技术规范试行自行设计改造方案初步方案经宁波市生态环境局宁海分局审核同意后有关企业相继开展提升改造工作三日常监管和验收项目改造过程中我局技术人员进行跟踪指导服务并实行月度完成进度上报制度企业改造完成后我局将组织专家进行现场验收出具验收意见并对改造项目完成质量效果进行优劣等级评比,,
218,2018-关于印发《桐庐县“清洁排放区”建设暨大气污染防治2018年实施计划》《桐庐县治污水暨水污染防治行动2018年实施计划》的通知.docx,regulatory,regulatory,关于印发桐庐县清洁排放区建设暨大气污染防治年实施计划桐庐县治污水暨水污染防治行动年实施计划的通知各乡镇人民政府街道办事处县政府各部门各直属单位桐庐县清洁排放区建设暨大气污染防治年实施计划桐庐县治污水暨水污染防治行动年实施计划已经县政府同意现印发给你们请认真贯彻执行桐庐县人民政府办公室年月日桐庐县清洁排放区建设暨大气污染防治年实施计划为进一步加强大气污染防治推动环境空气质量持续改善保障人民群众健康根据浙江省大气污染防治十三五规划杭州市大气污染防治十三五规划杭州市建设全市域大气清洁排放区的实施意见杭州市清洁排放区建设暨大气污染防治年实施计划杭政办函号等文件精神特制定我县清洁排放区建设暨大气污染防治年实施计划一总体要求以改善环境空气质量为导向全力推进五气共治工作全面建设清洁排放区确保年均浓度和空气质量优良率达到市下达的考核目标年全县细颗粒物年均浓度达到以下空气优良率达到以上重污染天气明显减少全县环境空气质量逐步改善二主要任务一全面治理燃煤烟气推动能源结构清洁化优化调整能源结构控制煤炭消费总量和煤炭质量严把耗煤新项目准入关新增煤炭消费项目实施减量替代全面落实高污染燃料禁燃区要求淘汰全县域范围内,,
553,2024-县美丽景宁建设领导小组办公室关于印发《景宁县土壤、地下水、农业农村和重金属污染防治2024年工作要点》的通知.docx,regulatory,regulatory,县美丽景宁建设领导小组办公室关于印发景宁县土壤地下水农业农村和重金属污染防治年工作要点的通知各乡镇人民政府街道办事处各有关单位现将景宁县土壤地下水农业农村和重金属污染防治年工作计划印发给你们请认真贯彻执行附件景宁县土壤地下水农业农村和重金属污染防治年工作计划县美丽景宁建设领导小组办公室年月日附件景宁县土壤地下水农业农村和重金属污染防治年工作计划一总体要求年全县受污染耕地安全利用率不低于重点建设用地安全利用率达到优先监管地块污染管控率达到以上不新增重点行业重点重金属污染物排放量农村生活污水治理行政村覆盖率和出水达标率分别达到和秸秆综合利用率和离田率分别达到和二主要任务一持续深化土壤污染防治精准实施农用地分类管理和安全利用结合水稻等粮食作物种植现状及受污染耕地安全利用治理修复效果等情况继续组织开展农用地土壤污染安全利用示范项目和耕地土壤环境质量类别动态调整试点建设进一步完善受污染耕地分类分级管理制度及标准体系县农业农村局牵头市生态环境局景宁分局配合强化严格管控类耕地用途管理加强日常巡查巡检落实种植结构调整为主的风险管控措施落实安全利用类耕地水稻等农产品的协同监测实施安全利用和严格管控成效核,,
